,key,rating,valid_from,valid_to,ranking,deviation,volatility
2541,Lego Sam,"(1643.4161711710321, 213.6055861257028, 0.059999657325599545)",2019-06-23,2019-06-23,1643.4161711710321,213.6055861257028,0.059999657325599545
2542,Lego Sam,"(1573.618926235855, 194.01962899678577, 0.05999907552500317)",2019-06-23,2019-06-23,1573.618926235855,194.01962899678577,0.05999907552500317
2543,Lego Sam,"(1529.41430109529, 178.4935466256388, 0.05999787590393953)",2019-06-23,2022-10-21,1529.41430109529,178.4935466256388,0.05999787590393953
2544,Lego Sam,"(1487.3435946054065, 164.16790022249762, 0.05999649854650136)",2022-10-21,,1487.3435946054065,164.16790022249762,0.05999649854650136
2545,Aape,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
2546,Aape,"(1411.0353842889615, 278.3455040079467, 0.059998602066161005)",2022-10-21,,1411.0353842889615,278.3455040079467,0.059998602066161005
2547,Cri,"(1500.0, 350.0, 0.06)",2017-05-11,2023-02-24,1500.0,350.0,0.06
2548,Cri,"(1445.7546138972077, 300.41205107739944, 0.059998956019045355)",2023-02-24,,1445.7546138972077,300.41205107739944,0.059998956019045355
2549,Chen,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
2550,Chen,"(1337.6891050238826, 290.3189646747521, 0.06)",2022-10-21,2022-11-05,1337.6891050238826,290.3189646747521,0.06
2551,Chen,"(1247.4094704439435, 246.19472696978607, 0.059999030077294506)",2022-11-05,2022-11-05,1247.4094704439435,246.19472696978607,0.059999030077294506
2552,Chen,"(1480.8800571063848, 227.99465874553368, 0.06000400546856339)",2022-11-05,,1480.8800571063848,227.99465874553368,0.06000400546856339
2553,Blue B,"(1500.0, 350.0, 0.06)",2017-05-11,2023-06-07,1500.0,350.0,0.06
2554,Blue B,"(1337.6891050238826, 290.3189646747521, 0.06)",2023-06-07,,1337.6891050238826,290.3189646747521,0.06
2555,Leony,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
2556,Leony,"(1756.7709934900072, 287.30218973930397, 0.06000233141362472)",2022-10-21,2022-10-21,1756.7709934900072,287.30218973930397,0.06000233141362472
2557,Leony,"(1784.4287666467214, 268.71636475851307, 0.06000174037502443)",2022-10-21,2022-10-21,1784.4287666467214,268.71636475851307,0.06000174037502443
2558,Leony,"(1741.6986868608376, 239.779361868702, 0.06000074884502551)",2022-10-21,2022-11-11,1741.6986868608376,239.779361868702,0.06000074884502551
