,key,rating,valid_from,valid_to
1459,Big Leo,1500.0,2017-05-11,2023-06-07
1460,Big Leo,1489.7205315838,2023-06-07,
1461,Said,1500.0,2017-05-11,2021-06-26
1462,Said,1489.7377390611625,2021-06-26,2021-06-26
1463,Said,1500.0330248059686,2021-06-26,2021-12-04
1464,Said,1492.0280547775521,2021-12-04,2021-12-04
1465,Said,1481.7578108606237,2021-12-04,2022-05-26
1466,Said,1472.0030345170917,2022-05-26,2022-10-21
1467,Said,1463.1005064057852,2022-10-21,2022-11-05
1468,Said,1455.8924504215954,2022-11-05,2023-04-06
1469,Said,1446.3267292814066,2023-04-06,
1470,Marius,1500.0,2017-05-11,2019-04-13
1471,Marius,1510.0,2019-04-13,2019-04-13
1472,Marius,1499.4259310853495,2019-04-13,2019-06-23
1473,Marius,1509.1546975230472,2019-06-23,2019-06-23
1474,Marius,1499.179027236073,2019-06-23,2019-06-23
1475,Marius,1493.2747994842966,2019-06-23,
1476,Wall-D,1500.0,2017-05-11,2019-09-20
1477,Wall-D,1490.0167816739752,2019-09-20,
1478,C Plus,1500.0,2017-05-11,2022-10-21
1479,C Plus,1509.9784618826761,2022-10-21,2022-10-21
1480,C Plus,1504.5142498170812,2022-10-21,2023-04-06
1481,C Plus,1494.467435446275,2023-04-06,
1482,Venom,1500.0,2017-05-11,2022-05-26
1483,Venom,1490.381254333546,2022-05-26,
1484,Cri6,1500.0,2017-05-11,2019-06-23
1485,Cri6,1510.0,2019-06-23,2019-06-23
1486,Cri6,1500.1084275749581,2019-06-23,2019-06-23
1487,Cri6,1491.2359213191648,2019-06-23,2022-10-21
1488,Cri6,1501.4805998371332,2022-10-21,2022-10-21
1489,Cri6,1494.3818202969524,2022-10-21,2022-10-21
1490,Cri6,1504.5435104145768,2022-10-21,2022-11-11
1491,Cri6,1494.4127451268905,2022-11-11,
1492,Erwan,1500.0,2017-05-11,2022-11-05
1493,Erwan,1490.9929946165278,2022-11-05,
1494,Mattix,1500.0,2017-05-11,2022-05-26
1495,Mattix,1489.7220842078023,2022-05-26,2022-11-05
1496,Mattix,1480.0983851753208,2022-11-05,2023-04-06
1497,Mattix,1471.1937505634999,2023-04-06,2023-06-07
1498,Mattix,1461.7050523019577,2023-06-07,2023-06-07
1499,Mattix,1472.8103653114122,2023-06-07,2023-06-07
1500,Mattix,1483.5913522170426,2023-06-07,
1501,Murda Ron,1500.0,2017-05-11,2022-10-21
