,key,rating,valid_from,valid_to,ranking,deviation,volatility
30,Gustas,"(1337.6891050238826, 290.3189646747521, 0.06)",2020-04-04,,1337.6891050238826,290.3189646747521,0.06
31,Vinz Dreush,"(1500.0, 350.0, 0.06)",2017-05-11,2018-12-15,1500.0,350.0,0.06
32,Vinz Dreush,"(1383.3580797572, 286.9272066273942, 0.05999919203103654)",2018-12-15,,1383.3580797572,286.9272066273942,0.05999919203103654
33,Dany Dann,"(1500.0, 350.0, 0.06)",2017-05-11,2017-11-04,1500.0,350.0,0.06
34,Dany Dann,"(1337.6891050238826, 290.3189646747521, 0.06)",2017-11-04,,1337.6891050238826,290.3189646747521,0.06
35,Albert,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-15,1500.0,350.0,0.06
36,Albert,"(1319.4134395629774, 272.58095641439724, 0.060000244727996324)",2022-10-15,2022-10-15,1319.4134395629774,272.58095641439724,0.060000244727996324
37,Albert,"(1242.810999979207, 244.46278422300662, 0.0599995788394624)",2022-10-15,2022-10-15,1242.810999979207,244.46278422300662,0.0599995788394624
38,Albert,"(1385.868423776834, 225.69352011970167, 0.06000083321263749)",2022-10-15,,1385.868423776834,225.69352011970167,0.06000083321263749
39,Rubio,"(1500.0, 350.0, 0.06)",2017-05-11,2022-04-09,1500.0,350.0,0.06
40,Rubio,"(1662.3108949761174, 290.3189646747521, 0.06)",2022-04-09,2022-04-09,1662.3108949761174,290.3189646747521,0.06
